WordRep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s
avada01,avada,a,0.862481671429945,0.31875000000000003,905.9669315539287,1705.9571174837429,3304.1804165253857,905.9986896170807,1707.1570329941687,3310.7707554752947
avada01,avada,a,0.8687316714299449,0.32500000000000007,888.2958454082617,1746.1874483850654,3363.59345631885,899.1563367917657,1749.7115781304537,3372.351919610434
avada01,avada,a,0.874981671429945,0.33125000000000004,903.2062334131068,1796.990168522553,3449.2818859870677,913.920370217306,1804.2137115101034,3416.059097912874
avada01,avada,a,0.881231671429945,0.3375,950.2590318305495,1869.4635176226918,3435.3019514327066,950.2590318305495,1869.4635176226918,3435.3019514327066
avada01,avada,non,0.8874816714299449,0.34375000000000006,,,,,,
avada01,avada,non,0.893731671429945,0.35000000000000003,,,,,,
avada01,avada,non,0.8999816714299449,0.35625000000000007,,,,,,
avada01,avada,non,0.906231671429945,0.36250000000000004,,,,,,
avada01,avada,non,0.912481671429945,0.36875,,,,,,
avada01,avada,non,0.9187316714299449,0.37500000000000006,,,,,,
avada01,avada,non,0.924981671429945,0.38125000000000003,,,,,,
avada01,avada,non,0.9312316714299449,0.38750000000000007,,,,,,
avada01,avada,a,0.937481671429945,0.39375000000000004,632.4195217805038,1867.7395634861025,3397.517332513648,632.4195217805038,1867.7395634861025,3397.517332513648
avada01,avada,a,0.943731671429945,0.4,783.0596278389339,1878.8144827937026,3391.2452252360117,747.555726872711,1873.647556367864,3387.220355534733
avada01,avada,a,0.9499816714299449,0.40625000000000006,827.1880309986952,1874.3886228237866,3372.8985088545373,822.5081762432101,1869.6024534859926,3392.977347522535
avada01,avada,a,0.956231671429945,0.41250000000000003,857.276869892001,1855.6042548404887,3414.7883084770565,865.6169959647926,1864.9895353465279,3412.3759732746635
avada01,avada,a,0.9624816714299449,0.41875000000000007,912.3860870036814,1864.9757283753083,3449.4411024923957,905.9229764197106,1847.9388150951982,3428.425275340995
avada01,avada,a,0.968731671429945,0.42500000000000004,948.1059723634495,1823.2364620697967,3421.0464150535345,943.6460908049121,1824.2014661214596,3411.0636578068916
avada01,avada,a,0.974981671429945,0.43125,970.4462130476054,1784.3922079192737,3362.7034558747437,957.9905971651519,1795.5054686533742,3397.2952231370787
avada01,avada,a,0.9812316714299449,0.43750000000000006,955.4196060844012,1778.8877359710527,3408.135798482958,961.5899892268467,1791.9185003848124,3392.1700520066793
avada01,avada,a,0.987481671429945,0.44375000000000003,958.9041485485337,1812.475557264111,3405.6709016623363,960.1362804272538,1788.0764178037261,3401.6435164685768
avada01,avada,a,0.9937316714299449,0.45000000000000007,966.0850866488266,1772.8659601760141,3391.1238492604352,957.6148360194724,1766.9130834665484,3388.1468542103325
avada01,avada,a,0.999981671429945,0.45625000000000004,947.8552728610566,1715.3977329595202,3367.645811708226,949.8714143330768,1732.740669952441,3367.1992030794554
avada01,avada,a,1.006231671429945,0.4625,935.6738834893473,1709.9583167217888,3342.8279482697053,939.1884615745812,1712.2709939581252,3343.429521928645
avada01,avada,a,1.012481671429945,0.46875000000000006,934.0362283733398,1711.456932193067,3319.8148058080046,934.0858727446135,1708.5629534771167,3340.5849319102927
avada01,avada,a,1.018731671429945,0.47500000000000003,932.547506371154,1704.273611516494,3359.1120416531694,936.5629692327481,1716.9447297019433,3367.5513013722652
avada01,avada,a,1.024981671429945,0.48125000000000007,943.1051729537506,1735.1036453962686,3423.727056655621,935.2018085794749,1715.5717118055575,3403.621810578228
avada01,avada,a,1.031231671429945,0.48750000000000004,929.9527464135206,1707.3378785039104,3428.0263334258943,922.481443072128,1700.8950706875864,3424.235723778345
avada01,avada,a,1.037481671429945,0.49375,894.3864098491125,1660.2436881625804,3420.9537812535195,897.495519179432,1674.102337685724,3413.654881898596
avada01,avada,a,1.043731671429945,0.5,868.1474012756631,1654.7254463906813,3391.9845310163755,839.2838761281037,1667.967915246352,3381.7232469421656
avada01,avada,a,1.0499816714299448,0.5062500000000001,755.3178172595356,1688.9346111857942,3332.2314285566026,782.5767825573307,1693.4872428246078,3382.099826718615
avada01,avada,a,1.056231671429945,0.5125000000000001,724.2651291367933,1736.801670897348,3422.083520582866,762.3903720676307,1702.069768807769,3396.507098485929
avada01,avada,a,1.062481671429945,0.51875,807.588169806563,1680.473024340164,3435.2063463183185,781.5322973229563,1694.5841960659009,3410.8940684876557
avada01,avada,a,1.068731671429945,0.525,812.7435930255126,1666.4778929601905,3375.3923385617823,812.7435930255126,1666.4778929601905,3375.3923385617823
kedavra01,kedavra,e,1.1906028156623556,0,1568.4358255527138,2197.323652600355,3709.0434212447867,1568.4358255527138,2197.323652600355,3709.0434212447867
kedavra01,kedavra,e,1.1968528156623557,0.00625,1256.6976146202385,2800.8434226745067,3998.2806877024336,1036.7522477755872,2243.9040176755966,3634.1379612652618
