Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker
kedavra01,kedavra,b,1.3906028156623556,-0.08125,1023.8756455652366,1667.137670383112,3072.2032692626785,1022.2896309139968,1664.8433028779143,3080.784406259658,Clara
kedavra01,kedavra,b,1.3968528156623556,-0.075,1011.6194192033212,1636.6639189860018,3065.6055963760227,1018.7951494491712,1665.9145279952727,3064.4275745039668,Clara
kedavra01,kedavra,b,1.4031028156623555,-0.06875,1021.4568798653737,1657.444266862158,3043.75793595682,1013.5258212376331,1666.1114979008753,3058.2988889299463,Clara
kedavra01,kedavra,b,1.4093528156623556,-0.0625,1008.0676609306223,1699.9659709741404,3045.342119370376,1008.3385283752258,1671.3521394725576,3053.231553788275,Clara
kedavra01,kedavra,b,1.4156028156623557,-0.05625,999.813845374905,1678.012893337682,3063.8764891244145,1006.9510486076814,1640.042157917699,3057.910103738239,Clara
kedavra01,kedavra,b,1.4218528156623556,-0.05,1006.1411073255439,1574.3850003154944,3055.4650625316417,1002.9461402086714,1593.3222593850023,3058.6575519287667,Clara
kedavra01,kedavra,b,1.4281028156623556,-0.04375,1011.5483561537723,1527.56888450183,3075.1425263217675,995.8996002131908,1537.178861217112,3060.741038842682,Clara
kedavra01,kedavra,b,1.4343528156623555,-0.0375,985.9647641416411,1509.5826988340116,3056.6540516927566,969.0869815937446,1489.5899983667498,3037.4445131590146,Clara
kedavra01,kedavra,b,1.4406028156623556,-0.03125,925.2432449060004,1431.618411764408,2999.619930672088,924.692003951062,1440.9510841567972,3005.8929406713687,Clara
kedavra01,kedavra,b,1.4468528156623557,-0.025,862.8680028055447,1381.652141871972,2961.4048396492626,863.2052590944776,1387.7091658152665,2967.1924181270037,Clara
kedavra01,kedavra,b,1.4531028156623556,-0.01875,801.5045295718875,1349.8569438094187,2940.5524840596604,798.884928777523,1361.3384820781532,2951.258363226954,Clara
kedavra01,kedavra,b,1.4593528156623556,-0.0125,732.2822539551369,1349.039927984726,2937.087391138325,728.7223995707967,1356.4152262293262,2949.5327395381223,Clara
kedavra01,kedavra,b,1.4656028156623555,-0.00625,652.3804151853658,1355.1557772967196,2963.0830478842154,639.9486884032417,1368.0378518482714,2961.138093527307,Clara
kedavra01,kedavra,b,1.4718528156623556,0,535.1833960692226,1384.7248206662553,2975.368546027214,535.1833960692226,1384.7248206662553,2975.368546027214,Clara
kedavra01,kedavra,non,1.4781028156623557,0.00625,,,,,,,Clara
kedavra01,kedavra,non,1.4843528156623556,0.0125,,,,,,,Clara
kedavra01,kedavra,non,1.4906028156623556,0.01875,,,,,,,Clara
kedavra01,kedavra,non,1.4968528156623555,0.025,,,,,,,Clara
kedavra01,kedavra,non,1.5031028156623556,0.03125,,,,,,,Clara
kedavra01,kedavra,non,1.5093528156623557,0.0375,,,,,,,Clara
kedavra01,kedavra,non,1.5156028156623556,0.04375,,,,,,,Clara
kedavra01,kedavra,non,1.5218528156623556,0.05,,,,,,,Clara
kedavra01,kedavra,non,1.5281028156623555,0.05625,,,,,,,Clara
kedavra01,kedavra,non,1.5343528156623556,0.0625,,,,,,,Clara
kedavra01,kedavra,non,1.5406028156623557,0.06875,,,,,,,Clara
kedavra01,kedavra,non,1.5468528156623556,0.075,,,,,,,Clara
kedavra01,kedavra,non,1.5531028156623556,0.08125,,,,,,,Clara
kedavra01,kedavra,c,1.5593528156623555,0.0875,412.91255190647524,1198.8108427699267,1731.4144918403408,412.91255190647524,1198.8108427699267,1731.4144918403408,Clara
kedavra01,kedavra,c,1.5656028156623556,0.09375,438.35094928626165,1215.126408762566,1709.0787974473965,436.2361533636845,1212.1464149150672,1737.599034741168,Clara
kedavra01,kedavra,c,1.5718528156623557,0.1,458.0235330674729,1227.5469937766466,1722.019667364768,459.57661767923736,1225.7856376950585,1758.3516925777215,Clara
kedavra01,kedavra,c,1.5781028156623556,0.10625,482.3047821089465,1233.7725586414106,1800.25226811382,487.14020890603564,1240.4393834430878,1794.9558101062332,Clara
kedavra01,kedavra,c,1.5843528156623556,0.1125,507.8443566387949,1251.9100284431552,1865.3252633352367,517.0864829066621,1259.8469294516533,1838.7097976363104,Clara
kedavra01,kedavra,c,1.5906028156623555,0.11875,554.0128502257912,1280.5077523933378,1872.8065962623582,553.8082266308453,1282.204082951611,1873.6386840437588,Clara
kedavra01,kedavra,c,1.5968528156623556,0.125,592.4890187601717,1313.434215012214,1906.5297274064433,585.4911317904874,1308.0592139111106,1904.5002892633677,Clara
kedavra01,kedavra,c,1.6031028156623557,0.13125,632.1855018255759,1333.0921908262112,1924.1116528823359,600.719891071298,1331.3721947115541,1922.1893324619323,Clara
