Ch1_X	Ch1_Y	Ch1_Z	Ch1_phi	Ch1_theta	Ch1_RMS	Ch1_Extra	Ch2_X	Ch2_Y	Ch2_Z	Ch2_phi	Ch2_theta	Ch2_RMS	Ch2_Extra	Ch3_X	Ch3_Y	Ch3_Z	Ch3_phi	Ch3_theta	Ch3_RMS	Ch3_Extra	Ch4_X	Ch4_Y	Ch4_Z	Ch4_phi	Ch4_theta	Ch4_RMS	Ch4_Extra	Ch5_X	Ch5_Y	Ch5_Z	Ch5_phi	Ch5_theta	Ch5_RMS	Ch5_Extra	Ch6_X	Ch6_Y	Ch6_Z	Ch6_phi	Ch6_theta	Ch6_RMS	Ch6_Extra	Ch7_X	Ch7_Y	Ch7_Z	Ch7_phi	Ch7_theta	Ch7_RMS	Ch7_Extra	Ch8_X	Ch8_Y	Ch8_Z	Ch8_phi	Ch8_theta	Ch8_RMS	Ch8_Extra	Ch9_X	Ch9_Y	Ch9_Z	Ch9_phi	Ch9_theta	Ch9_RMS	Ch9_Extra	Ch10_X	Ch10_Y	Ch10_Z	Ch10_phi	Ch10_theta	Ch10_RMS	Ch10_Extra	Ch11_X	Ch11_Y	Ch11_Z	Ch11_phi	Ch11_theta	Ch11_RMS	Ch11_Extra	Ch12_X	Ch12_Y	Ch12_Z	Ch12_phi	Ch12_theta	Ch12_RMS	Ch12_Extra
-40.68	-55.52	21.43	-161.28	55.39	0.00	0.00	-49.72	69.67	17.24	4.51	-17.74	0.00	0.00	37.12	10.47	-23.81	148.34	-56.76	0.00	0.00	58.33	12.17	-45.33	90.91	65.95	0.00	0.00	71.59	9.86	-63.34	83.41	-2.24	0.00	0.00	78.38	15.27	-32.93	-100.65	65.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.55	21.43	-161.29	55.42	0.00	0.00	-49.72	69.69	17.23	4.51	-17.72	0.00	0.00	37.13	10.54	-23.93	148.47	-56.97	0.00	0.00	58.32	12.21	-45.34	91.32	65.98	0.00	0.00	71.63	9.88	-63.29	83.42	-2.26	0.00	0.00	78.37	15.34	-32.87	-100.79	65.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.55	21.43	-161.30	55.41	0.00	0.00	-49.72	69.69	17.23	4.52	-17.72	0.00	0.00	37.06	10.52	-24.09	148.56	-57.20	0.00	0.00	58.20	12.24	-45.36	91.59	66.07	0.00	0.00	71.55	9.87	-63.24	83.40	-2.23	0.00	0.00	78.43	15.32	-32.92	-100.96	65.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.54	21.43	-161.27	55.41	0.00	0.00	-49.72	69.68	17.23	4.51	-17.72	0.00	0.00	37.07	10.48	-24.18	148.60	-57.47	0.00	0.00	58.17	12.36	-45.37	91.97	66.13	0.00	0.00	71.64	9.89	-63.17	83.38	-2.24	0.00	0.00	78.52	15.43	-32.84	-101.15	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.70	-55.56	21.43	-161.25	55.41	0.00	0.00	-49.71	69.71	17.22	4.51	-17.71	0.00	0.00	36.93	10.58	-24.31	148.63	-57.64	0.00	0.00	58.19	12.28	-45.38	92.31	66.09	0.00	0.00	71.50	9.87	-63.17	83.42	-2.25	0.00	0.00	78.45	15.38	-32.89	-101.20	65.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.56	21.43	-161.27	55.42	0.00	0.00	-49.72	69.71	17.23	4.50	-17.71	0.00	0.00	36.89	10.57	-24.41	148.60	-57.90	0.00	0.00	58.13	12.29	-45.36	92.51	66.08	0.00	0.00	71.64	9.87	-63.22	83.38	-2.26	0.00	0.00	78.53	15.32	-32.88	-101.56	65.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.70	-55.56	21.43	-161.25	55.42	0.00	0.00	-49.72	69.71	17.22	4.50	-17.70	0.00	0.00	36.82	10.51	-24.58	148.59	-58.20	0.00	0.00	58.12	12.21	-45.39	92.85	65.99	0.00	0.00	71.64	9.89	-63.18	83.37	-2.24	0.00	0.00	78.40	15.33	-32.87	-101.82	65.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.56	21.43	-161.27	55.42	0.00	0.00	-49.72	69.71	17.23	4.50	-17.71	0.00	0.00	36.53	10.50	-24.56	148.57	-58.37	0.00	0.00	58.04	12.32	-45.35	93.04	65.97	0.00	0.00	71.69	9.99	-63.16	83.37	-2.21	0.00	0.00	78.15	15.23	-32.83	-101.90	65.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.51	21.43	-161.20	55.41	0.00	0.00	-49.72	69.69	17.23	4.50	-17.71	0.00	0.00	36.56	10.57	-24.72	148.36	-58.61	0.00	0.00	58.15	12.18	-45.38	93.20	65.83	0.00	0.00	71.61	9.92	-63.17	83.34	-2.25	0.00	0.00	78.41	15.34	-32.84	-102.36	65.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40.69	-55.53	21.43	-161.20	55.40	0.00	0.00	-49.72	69.70	17.23	4.49	-17.71	0.00	0.00	36.60	10.54	-24.86	148.24	-58.89	0.00	0.00	58.12	12.23	-45.31	93.26	65.65	0.00	0.00	71.66	9.93	-63.17	83.32	-2.24	0.00	0.00	78.56	15.36	-32.84	-102.87	65.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
