Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker,Ch3_X,Ch3_Y,Ch4_X,Ch4_Y
gentlemanly,gentlemanly,2,1.2216768278970571,0,599.8859450208174,1321.4633720959641,2597.4141046739537,595.878757297156,1324.696360802008,2597.6416201773204,S1,30.07,9.845209143608134,55.608973728554545,12.907071989486127
gentlemanly,gentlemanly,3,1.2279268278970572,0.00625,707.1043719598146,1299.5333580436995,2566.6848943947753,675.4879461172759,1299.7500684268834,2571.0391017489214,S1,30.03933009223413,9.857667476941467,55.86868449271228,12.75565775364386
gentlemanly,gentlemanly,3,1.234176827897057,0.0125,764.965404716494,1278.2534751409864,2549.0183061780353,736.7452936258414,1276.3064610668991,2550.2100924863257,S1,30.032264584946407,9.880377430824401,55.99,12.628490276702397
gentlemanly,gentlemanly,3,1.2404268278970572,0.01875,796.9923822459258,1251.1325500160117,2534.9270768861657,771.4561530347902,1254.8541009610447,2539.2181496693142,S1,30.27977187741962,9.915168287216268,56.0055048616488,12.481574420310526
gentlemanly,gentlemanly,3,1.246676827897057,0.025,786.5582530955023,1235.1762777261358,2519.7206217599532,774.8973997519419,1240.1562075918055,2535.5789939049523,S1,30.585892015770806,9.965297338590268,56.135722108004934,12.4
gentlemanly,gentlemanly,3,1.2529268278970571,0.03125,762.3721172543251,1234.1597950332691,2532.491055001318,767.4302208580942,1233.6002734879314,2538.218923874699,S1,30.84001620549601,10,56.37001620549601,12.3924991897252
gentlemanly,gentlemanly,3,1.2591768278970572,0.0375,753.3602922244552,1225.052437266076,2556.4810560099463,751.1238864682801,1230.5009847109968,2544.716794756616,S1,31.17881516463589,9.980081712783733,56.62914201577082,12.310326851134928
gentlemanly,gentlemanly,3,1.265426827897057,0.04375,737.6392499260604,1228.7697003755097,2553.2026785894927,736.9193004182498,1228.0158482081026,2550.2642196589154,S1,31.476262154122008,9.98692233859027,56.905932061887874,12.306262154122006
gentlemanly,gentlemanly,3,1.2716768278970572,0.05,719.7583591042338,1226.704385524587,2545.196382696952,720.1921200213704,1218.5511516870004,2554.915201346548,S1,31.653385533572408,10.044875810274801,57.12801296439681,12.4297516205496
gentlemanly,gentlemanly,3,1.277926827897057,0.05625,703.178751033817,1203.0706581410825,2556.2835485942032,703.6561090953668,1206.7044065810815,2560.865775542355,S1,31.866682872162677,10.05,57.40068773381148,12.432665856391866
